symbol,name,cap,close,score
WSTCSTPAPR,West Coast Paper Mills Limited,Microcap,534.35,6
XPROINDIA,Xpro India Ltd.,Microcap,1395.3,6
YASHO,YASHO INDUSTRIES LIMITED,Microcap,2923.9,6
YATHARTH,YATHARTH HOSPITAL & TRAUMA CARE SERVICES LIMITED,Microcap,858.6,6
ZOTA,Zota Health Care Ltd.,Microcap,1416.8,6
ZYDUSLIFE,Zydus Lifesciences Limited,Midcap,1112.6,6
ZYDUSWELL,Zydus Wellness Limited,Smallcap,575.4,6
ABSLAMC,Aditya Birla Sun Life AMC Limited,Smallcap,1154.7,5
AHCL,ANLON HEALTHCARE LIMITED,Microcap,15.99,5
AZAD,Azad Engineering Limited,Microcap,2055.3,5
BALAMINES,Balaji Amines Ltd.,Microcap,2035.9,5
BDL,Bharat Dynamics Limited,Midcap,1368.4,5
BORORENEW,BOROSIL RENEWABLES LIMITED,Microcap,602.25,5
CAMS,Computer Age Management Services Limited,Smallcap,796.85,5
CANHLIFE,Canara HSBC Life Insurance Company Limited,Microcap,139.86,5
CEATLTD,Ceat Ltd.,Smallcap,3482.6,5
CHALET,Chalet Hotels Limited,Smallcap,814.9,5
CHOLAHLDNG,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,Midcap,1656.9,5
CNL,CREATIVE NEWTECH LIMITED,Microcap,730.25,5
COSMOFIRST,Cosmo First Limited,Microcap,788.25,5
DCBBANK,DCB Bank Limited,Microcap,185.2,5
DEEPAKFERT,Deepak Fertilizers &Petrochemicals,Smallcap,1558.1,5
DLINKINDIA,D-Link (India) Ltd,Microcap,514.65,5
